"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","Login and Sign up","0","Successful 2FA login","0","0","","0"
"1","Login and Sign up","0","Create and delete account","0","0","","0"
"0","Error Pages","0","404 Page","1","0","","0"
"0","","0","","0","3","","0"
"0","Landing page","0","Initial city selection","1","0","","0"
"0","Showpage","0","Information about the salon","1","0","","0"
"0","Start page","0","Search Movies","1","0","","0"
"0","Start page","0","Search Cities","1","0","","0"
"0","Purchases","0","Successful Card Purchase","1","0","","0"
"0","Purchases","0","Successful full discount","1","0","","0"
"0","Purchases","0","No Email in checkout","1","0","","0"
