"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23374","Saloninfo verification","chromium","Thu Aug 07 03:55:39 UTC 2025","failed","Thu Aug 07 03:56:02 UTC 2025","Tests for the Showpage","filmstaden_int/showPage.spec.ts","",""
"","1","Sign up, verify email, login, cancel membership","chromium","Thu Aug 07 03:42:18 UTC 2025","skipped","Thu Aug 07 03:42:18 UTC 2025","Create Account","CreateFilmstadenUserINT.spec.ts","",""
"","39322","Discountcode FR purchase + control the confirmation email","chromium","Thu Aug 07 03:54:03 UTC 2025","failed","Thu Aug 07 03:54:42 UTC 2025","Discount code purchases","filmstaden_int/purchases/discountCodePurchase.spec.ts","",""
"","11083","Search Movies","chromium","Thu Aug 07 03:56:04 UTC 2025","passed","Thu Aug 07 03:56:15 UTC 2025","Filmstaden Startpage","filmstaden_int/StartPage.spec.ts","",""
"","4615","Initial city selection","chromium","Thu Aug 07 03:42:37 UTC 2025","passed","Thu Aug 07 03:42:42 UTC 2025","Filmstaden Startpage","filmstaden_int/LandingPage.spec.ts","",""
"","18134","Test that 404-page has the correct elements","chromium","Thu Aug 07 03:42:18 UTC 2025","passed","Thu Aug 07 03:42:37 UTC 2025","404-page tests","filmstaden_int/404Page.spec.js","",""
"","37138","Card purchase successful","chromium","Thu Aug 07 03:52:04 UTC 2025","failed","Thu Aug 07 03:52:41 UTC 2025","Unauthenticated Card Purchase Tests","filmstaden_int/purchases/cardPurchase.spec.js","",""
"","0","Login and save authentication state","chromium","Thu Aug 07 03:54:43 UTC 2025","skipped","Thu Aug 07 03:54:43 UTC 2025","","filmstaden_int/SaveAuthentication.spec.ts","",""
"","62872","2FA login","chromium","Thu Aug 07 03:44:49 UTC 2025","broken","Thu Aug 07 03:45:52 UTC 2025","2FA login","filmstaden_int/loginAndSignUp/loginFlow.spec.js","",""
"","93963","Create and delete account","chromium","Thu Aug 07 03:49:04 UTC 2025","broken","Thu Aug 07 03:50:38 UTC 2025","2FA tests","filmstaden_int/loginAndSignUp/signUpFlow.spec.js","",""
"","0","Test that the auth.json file works correctly","chromium","Thu Aug 07 03:42:37 UTC 2025","skipped","Thu Aug 07 03:42:37 UTC 2025","Authenticated tests","filmstaden_int/alreadyLoggedInTest.spec.ts","",""
"","6424","Search Cities","chromium","Thu Aug 07 03:56:15 UTC 2025","passed","Thu Aug 07 03:56:22 UTC 2025","Filmstaden Startpage","filmstaden_int/StartPage.spec.ts","",""
"","14588","No Email Error","chromium","Thu Aug 07 03:52:42 UTC 2025","passed","Thu Aug 07 03:52:57 UTC 2025","Unauthenticated Card Purchase Tests","filmstaden_int/purchases/cardPurchase.spec.js","",""
